Association,AF_L,Arcuate_Fasciculus_L
,AF_R,Arcuate_Fasciculus_R
,C_FPH_L,Cingulum_Frontal_Parahippocampal_L
,C_FPH_R,Cingulum_Frontal_Parahippocampal_R
,C_FP_L,Cingulum_Frontal_Parietal_L
,C_FP_R,Cingulum_Frontal_Parietal_L
,C_PHP_L,Cingulum_Parahippocampal_Parietal_L
,C_PHP_R,Cingulum_Parahippocampal_Parietal_R
,C_PH_L,Cingulum_Parahippocampal_L
,C_PH_R,Cingulum_Parahippocampal_R
,C_PO_L,Cingulum_Parolfactory_L
,C_PO_R,Cingulum_Parolfactory_R
,EMC_L,Extreme_Capsule_L
,EMC_R,Extreme_Capsule_R
,FAT_L,Frontal_Aslant_Tract_L
,FAT_R,Frontal_Aslant_Tract_R
,IFOF_L,Inferior_Fronto_Occipital_Fasciculus_L
,IFOF_R,Inferior_Fronto_Occipital_Fasciculus_R
,ILF_L,Inferior_Longitudinal_Fasciculus_L
,ILF_R,Inferior_Longitudinal_Fasciculus_R
,MdLF_L,Middle_Longitudinal_Fasciculus_L
,MdLF_R,Middle_Longitudinal_Fasciculus_R
,PAT_L,Parietal_Aslant_Tract_L 
,PAT_R,Parietal_Aslant_Tract_R
,SLF1_L,Superior_Longitudinal_Fasciculus1_L
,SLF1_R,Superior_Longitudinal_Fasciculus1_R
,SLF2_L,Superior_Longitudinal_Fasciculus2_L
,SLF2_R,Superior_Longitudinal_Fasciculus2_R
,SLF3_L,Superior_Longitudinal_Fasciculus3_L
,SLF3_R,Superior_Longitudinal_Fasciculus3_R
,UF_L,Uncinate_Fasciculus_L
,UF_R,Uncinate_Fasciculus_R
,VOF_L,Vertical_Occipital_Fasciculus_L
,VOF_R,Vertical_Occipital_Fasciculus_R
Projection,AR_L,Acoustic_Radiation_L
,AR_R,Acoustic_Radiation_R
,CBT_L,Corticobulbar_Tract_L
,CBT_R,Corticobulbar_Tract_R
,CPT_F_L,Corticopontine_Tract_Frontal_L
,CPT_F_R,Corticopontine_Tract_Frontal_R
,CPT_P_L,Corticopontine_Tract_Parietal_L
,CPT_P_R,Corticopontine_Tract_Parietal_R
,CPT_O_L,Corticopontine_Tract_Occipital_L
,CPT_O_R,Corticopontine_Tract_Occipital_R
,CS_A_L,Corticostriatal_Tract_Anterior_L
,CS_A_R,Corticostriatal_Tract_Anterior_R
,CS_S_L,Corticostriatal_Tract_Superior_L
,CS_S_R,Corticostriatal_Tract_Superior_R
,CS_P_L,Corticostriatal_Tract_Posterior_L
,CS_P_R,Corticostriatal_Tract_Posterior_R
,CST_L,Cortico_Spinal_Tract_L
,CST_R,Cortico_Spinal_Tract_R
,DRTT_L,Dentatorubrothalamic_Tract_L
,DRTT_R,Dentatorubrothalamic_Tract_R
,F_L,Fornix_L
,F_R,Fornix_R
,ML_L,Medial_Lemniscus_L
,ML_R,Medial_Lemniscus_R
,OR_L,Optic_Radiation_L
,OR_R,Optic_Radiation_R
,RST_L,Reticulospinal_Tract_L
,RST_R,Reticulospinal_Tract_R
,TR_A_L,Thalamic_Radiation_Anterior_L
,TR_A_R,Thalamic_Radiation_Anterior_R
,TR_P_L,Thalamic_Radiation_Posterior_L
,TR_P_R,Thalamic_Radiation_Posterior_R
,TR_S_L,Thalamic_Radiation_Superior_L
,TR_S_R,Thalamic_Radiation_Superior_L
Commissural,AC,Anterior_Commissure
,CC,Corpus_Callosum
Cerebellum,CB_L,Cerebellum_L
,CB_R,Cerebellum_R
,ICP_L,Inferior_Cerebellar_Peduncle_L
,ICP_R,Inferior_Cerebellar_Peduncle_R
,MCP,Middle_Cerebellar_Peduncle
,SCP,Superior_Cerebellar_Peduncle
,V,Vermis
Cranial Nerves,CNII_L,CNII_L
,CNII_R,CNII_R
,CNIII_L,CNIII_L
,CNIII_R,CNIII_R
,CNV_L,CNV_L
,CNV_R,CNV_R
,CNVII_L,CNVII_L
,CNVII_R,CNVII_R
,CNVIII_L,CNVIII_L
,CNVIII_R,CNVIII_R
